date,appliances,lights,t1,rh_1,t2,rh_2,t3,rh_3,t4,rh_4,t5,rh_5,t6,rh_6,t7,rh_7,t8,rh_8,t9,rh_9,t_out,press_mm_hg,rh_out,windspeed,visibility,tdewpoint
2016-01-11 17:00:00,60,30,19.89,47.597,19.2,44.79,19.79,44.73,19.0,45.567,17.167,55.2,7.027,84.257,17.2,41.627,18.2,48.9,17.033,45.53,6.6,733.5,92.0,7.0,63.0,5.3
2016-01-11 17:10:00,60,30,19.89,46.693,19.2,44.722,19.79,44.79,19.0,45.992,17.167,55.2,6.833,84.063,17.2,41.56,18.2,48.863,17.067,45.56,6.483,733.6,92.0,6.667,59.167,5.2
2016-01-11 17:20:00,50,30,19.89,46.3,19.2,44.627,19.79,44.933,18.927,45.89,17.167,55.09,6.56,83.157,17.2,41.433,18.2,48.73,17.0,45.5,6.367,733.7,92.0,6.333,55.333,5.1
2016-01-11 17:30:00,50,40,19.89,46.067,19.2,44.59,19.79,45.0,18.89,45.723,17.167,55.09,6.433,83.423,17.133,41.29,18.1,48.59,17.0,45.4,6.25,733.8,92.0,6.0,51.5,5.0
2016-01-11 17:40:00,60,40,19.89,46.333,19.2,44.53,19.79,45.0,18.89,45.53,17.2,55.09,6.367,84.893,17.2,41.23,18.1,48.59,17.0,45.4,6.133,733.9,92.0,5.667,47.667,4.9
2016-01-11 17:50:00,50,40,19.89,46.027,19.2,44.5,19.79,44.933,18.89,45.73,17.133,55.03,6.3,85.767,17.133,41.26,18.1,48.59,17.0,45.29,6.017,734.0,92.0,5.333,43.833,4.8
2016-01-11 18:00:00,60,50,19.89,45.767,19.2,44.5,19.79,44.9,18.89,45.79,17.1,54.967,6.263,86.09,17.133,41.2,18.1,48.59,17.0,45.29,5.9,734.1,92.0,5.0,40.0,4.7
2016-01-11 18:10:00,60,50,19.857,45.56,19.2,44.5,19.73,44.9,18.89,45.863,17.1,54.9,6.19,86.423,17.1,41.2,18.1,48.59,17.0,45.29,5.917,734.167,91.833,5.167,40.0,4.683
2016-01-11 18:20:00,60,40,19.79,45.598,19.2,44.433,19.73,44.79,18.89,45.79,17.167,55.0,6.123,87.227,17.167,41.4,18.1,48.59,17.0,45.29,5.933,734.233,91.667,5.333,40.0,4.667
2016-01-11 18:30:00,70,40,19.857,46.09,19.23,44.4,19.79,44.863,18.89,46.097,17.1,55.0,6.19,87.627,17.2,41.5,18.1,48.59,17.0,45.29,5.95,734.3,91.5,5.5,40.0,4.65
2016-01-11 18:40:00,230,70,19.927,45.863,19.357,44.4,19.79,44.9,18.89,46.43,17.1,55.0,6.19,87.867,17.248,42.718,18.1,48.59,17.0,45.29,5.967,734.367,91.333,5.667,40.0,4.633
2016-01-11 18:50:00,580,60,20.067,46.397,19.427,44.4,19.79,44.827,19.0,46.43,17.1,55.0,6.123,87.993,17.53,44.263,18.067,48.633,16.89,45.29,5.983,734.433,91.167,5.833,40.0,4.617
2016-01-11 19:00:00,430,50,20.133,48.0,19.567,44.4,19.89,44.9,19.0,46.363,17.1,55.09,6.123,88.59,17.823,45.493,18.067,48.56,16.963,45.29,6.0,734.5,91.0,6.0,40.0,4.6
2016-01-11 19:10:00,250,40,20.26,52.727,19.73,45.1,19.89,45.493,19.0,47.223,17.1,55.163,6.068,88.215,17.963,46.16,18.033,48.667,16.89,45.327,6.0,734.617,90.5,6.0,40.0,4.517
2016-01-11 19:20:00,100,10,20.427,55.893,19.857,45.833,20.033,47.527,19.0,48.697,17.1,55.5,5.9,88.157,17.963,45.533,18.1,49.193,16.89,45.345,6.0,734.733,90.0,6.0,40.0,4.433
2016-01-11 19:30:00,100,10,20.567,53.893,20.033,46.757,20.1,48.467,19.0,48.49,17.15,56.042,5.8,88.367,17.89,44.927,18.15,49.2,16.89,45.327,6.0,734.85,89.5,6.0,40.0,4.35
2016-01-11 19:40:00,90,10,20.73,52.66,20.167,47.223,20.2,48.53,18.927,48.157,17.167,56.49,5.727,88.16,17.76,44.267,18.23,49.633,16.89,45.29,6.0,734.967,89.0,6.0,40.0,4.267
2016-01-11 19:50:00,70,30,20.857,53.66,20.2,47.057,20.2,48.448,18.89,47.963,17.2,56.933,5.527,87.3,17.7,43.727,18.357,50.027,16.89,45.29,6.0,735.083,88.5,6.0,40.0,4.183
2016-01-11 20:00:00,80,30,20.89,51.193,20.2,46.33,20.2,48.193,18.963,48.63,17.2,57.06,5.333,86.76,17.667,43.16,18.533,50.2,16.89,45.2,6.0,735.2,88.0,6.0,40.0,4.1
2016-01-11 20:10:00,140,40,20.89,49.8,20.2,46.027,20.167,47.633,19.033,49.5,17.593,70.727,5.333,87.463,17.6,42.693,18.667,50.26,16.89,45.2,6.0,735.233,87.833,6.0,40.0,4.067
2016-01-11 20:20:00,120,20,20.89,48.433,20.2,45.722,20.167,47.3,19.175,49.948,18.067,79.0,5.467,87.53,17.6,42.333,18.73,50.23,16.89,45.127,6.0,735.267,87.667,6.0,40.0,4.033
2016-01-11 20:30:00,190,40,20.963,47.633,20.26,45.53,20.2,47.027,19.26,49.697,17.667,79.73,5.5,86.957,17.533,42.067,18.857,50.29,16.89,45.127,6.0,735.3,87.5,6.0,40.0,4.0
2016-01-11 20:40:00,110,40,21.033,47.063,20.29,45.223,20.26,46.827,19.323,49.167,17.6,79.257,5.56,86.563,17.633,43.633,18.89,50.163,16.89,45.06,6.0,735.333,87.333,6.0,40.0,3.967
2016-01-11 20:50:00,110,40,21.1,46.597,20.357,44.963,20.29,46.633,19.39,48.427,17.567,78.393,5.623,86.33,17.76,43.633,18.963,50.03,16.89,45.0,6.0,735.367,87.167,6.0,40.0,3.933
2016-01-11 21:00:00,110,30,21.133,46.06,20.427,44.76,20.29,46.433,19.39,48.193,17.76,82.46,5.763,86.063,17.857,43.46,19.0,49.76,16.89,44.967,6.0,735.4,87.0,6.0,40.0,3.9
2016-01-11 21:10:00,110,20,21.2,45.8,20.5,44.76,20.39,46.223,19.39,47.8,18.357,82.59,5.657,85.59,17.79,43.4,19.067,49.7,16.89,44.9,5.933,735.467,87.167,6.0,40.0,3.867
2016-01-11 21:20:00,100,30,21.29,45.9,20.533,45.09,20.39,46.09,19.39,47.56,18.357,70.99,5.53,85.73,17.89,43.79,19.133,49.633,16.89,44.79,5.867,735.533,87.333,6.0,40.0,3.833
2016-01-11 21:30:00,100,20,21.357,45.827,20.667,45.163,20.39,46.09,19.39,47.5,18.6,62.43,5.433,86.327,17.89,43.79,19.2,49.433,16.89,44.79,5.8,735.6,87.5,6.0,40.0,3.8
2016-01-11 21:40:00,100,20,21.39,45.69,20.7,45.06,20.39,46.09,19.427,47.993,18.667,59.03,5.5,86.6,17.89,43.7,19.23,49.4,16.89,44.7,5.733,735.667,87.667,6.0,40.0,3.767
2016-01-11 21:50:00,100,20,21.5,45.333,20.7,44.933,20.39,46.06,19.567,48.467,18.823,56.727,5.59,86.467,17.865,43.57,19.29,49.327,16.89,44.7,5.667,735.733,87.833,6.0,40.0,3.733
2016-01-11 22:00:00,110,20,21.5,45.127,20.79,44.633,20.39,46.0,19.667,48.093,18.963,55.333,5.59,86.325,17.79,43.4,19.29,49.163,16.823,44.59,5.6,735.8,88.0,6.0,40.0,3.7
