date,appliances,lights,t1,rh_1,t2,rh_2,t3,rh_3,t4,rh_4,t5,rh_5,t6,rh_6,t7,rh_7,t8,rh_8,t9,rh_9,t_out,press_mm_hg,rh_out,windspeed,visibility,tdewpoint
2016-01-11 17:00:00,55.0,35.0,19.89,46.503,19.2,44.626,19.79,44.898,18.933,45.739,17.167,55.117,6.587,84.26,17.178,41.4,18.15,48.71,17.017,45.447,6.308,733.75,92.0,6.167,53.417,5.05
2016-01-11 18:00:00,176.667,51.667,19.898,45.879,19.269,44.439,19.77,44.863,18.908,46.067,17.111,54.978,6.18,87.204,17.23,42.047,18.094,48.597,16.982,45.29,5.942,734.267,91.583,5.417,40.0,4.658
2016-01-11 19:00:00,173.333,25.0,20.496,52.805,19.926,46.062,20.052,47.228,18.97,47.816,17.136,55.87,5.858,88.132,17.85,45.018,18.156,49.213,16.902,45.311,6.0,734.792,89.75,6.0,40.0,4.392
2016-01-11 20:00:00,125.0,35.0,20.961,48.453,20.251,45.632,20.214,47.269,19.191,49.228,17.616,74.028,5.469,86.934,17.632,42.92,18.773,50.196,16.89,45.119,6.0,735.283,87.583,6.0,40.0,4.017
2016-01-11 21:00:00,103.333,23.333,21.312,45.768,20.588,44.961,20.373,46.164,19.426,47.919,18.427,69.038,5.579,86.13,17.864,43.618,19.153,49.542,16.89,44.808,5.833,735.567,87.417,6.0,40.0,3.817
2016-01-11 22:00:00,266.667,21.667,21.572,44.664,20.906,44.119,20.47,45.829,20.109,47.507,19.113,53.129,5.83,85.256,17.775,42.945,19.343,49.016,16.856,44.528,5.725,736.008,87.583,6.417,40.0,3.742
2016-01-11 23:00:00,56.667,18.333,21.532,44.271,20.934,43.712,20.318,45.696,20.91,46.551,19.275,50.923,5.739,86.439,17.7,43.241,19.384,50.272,16.89,45.241,5.65,736.55,89.083,6.583,32.5,3.925
2016-01-12 00:00:00,141.667,16.667,21.266,44.961,20.637,44.018,20.144,45.542,20.514,47.113,19.156,50.396,5.463,89.107,17.755,44.59,19.397,51.696,16.89,45.875,5.217,737.15,92.0,6.0,29.5,4.017
2016-01-12 01:00:00,168.333,8.333,20.964,45.613,20.333,44.273,20.133,45.54,21.506,46.947,18.97,50.076,4.81,91.045,17.79,45.729,19.28,53.248,16.89,46.308,5.142,737.833,92.0,5.583,40.0,3.942
2016-01-12 02:00:00,45.0,0.0,20.697,46.198,20.067,44.503,20.171,45.454,21.143,45.906,18.813,50.122,4.25,92.69,17.846,46.019,19.192,54.868,16.976,47.263,5.033,738.55,92.0,4.583,40.0,3.833
2016-01-12 03:00:00,35.0,0.0,20.462,46.24,19.792,44.56,20.23,45.428,20.417,46.109,18.656,50.05,4.011,93.738,17.879,46.11,19.2,54.93,17.022,48.083,4.842,739.192,92.417,4.833,40.0,3.683
2016-01-12 04:00:00,45.0,0.0,20.229,46.484,19.6,44.651,20.285,45.525,19.951,46.397,18.522,50.0,4.697,94.729,17.89,45.788,19.1,54.477,17.055,48.828,4.942,739.725,92.167,5.583,40.0,3.717
2016-01-12 05:00:00,43.333,0.0,20.039,46.339,19.414,44.77,20.323,45.59,19.655,46.639,18.422,49.929,4.799,94.24,17.89,45.614,19.07,54.077,17.1,49.422,4.958,740.067,92.667,4.583,40.0,3.808
