date,appliances,lights,t1,rh_1,t2,rh_2,t3,rh_3,t4,rh_4,t5,rh_5,t6,rh_6,t7,rh_7,t8,rh_8,t9,rh_9,t_out,press_mm_hg,rh_out,windspeed,visibility,tdewpoint
2016-01-12 02:50:00,40,0,20.6,46.127,20.0,44.5,20.2,45.4,20.745,45.9,18.73,50.09,4.19,93.127,17.823,45.963,19.133,54.79,17.0,47.663,4.867,738.8,92.0,4.167,40.0,3.667
2016-01-12 12:10:00,190,0,20.033,45.5,19.2,44.127,19.963,44.7,20.033,43.693,18.067,49.0,6.59,85.463,17.918,40.24,18.567,47.59,17.1,45.06,7.083,743.5,80.667,7.0,30.0,4.017
2016-01-13 02:20:00,50,0,19.2,43.76,18.5,43.775,19.89,45.0,18.79,44.06,17.23,52.03,5.5,88.393,18.0,44.765,18.75,55.0,17.1,49.09,5.367,749.267,90.333,8.0,22.0,3.867
2016-01-13 04:00:00,50,0,19.033,44.03,18.308,43.9,19.79,45.0,18.633,44.2,17.2,52.433,5.833,80.99,18.0,44.669,18.7,54.149,17.1,49.79,5.4,751.2,89.0,8.0,24.0,3.7
2016-01-13 05:20:00,40,0,18.89,44.2,18.245,44.0,19.89,45.09,18.5,44.2,17.1,52.7,5.433,78.43,18.0,44.9,18.7,53.663,17.2,50.127,5.133,752.2,90.0,7.667,22.333,3.533
2016-01-13 05:50:00,20,0,18.89,44.29,18.2,44.0,19.927,45.09,18.5,44.2,17.2,52.79,5.5,78.633,18.0,45.241,18.7,53.42,17.2,50.2,5.033,752.65,90.0,7.167,22.833,3.433
2016-01-13 21:10:00,250,10,19.6,41.59,19.133,40.9,19.2,42.863,19.7,41.297,18.1,85.897,1.5,85.4,18.39,38.0,19.79,45.363,16.7,40.163,2.95,756.817,88.833,5.0,38.167,1.317
2016-01-13 22:40:00,30,0,19.5,42.0,19.0,40.93,21.2,45.597,19.133,40.1,18.945,76.15,1.567,89.03,18.2,38.067,19.667,46.327,16.6,40.633,3.033,756.067,86.667,5.667,36.333,0.967
2016-01-13 23:20:00,50,0,19.39,42.09,18.823,41.23,20.6,44.23,18.963,41.03,18.533,70.257,1.933,89.59,18.1,38.963,19.6,47.8,16.6,42.157,3.067,755.767,87.0,5.667,36.333,1.067
2016-01-14 01:50:00,40,0,19.0,42.09,18.39,41.29,19.89,43.2,18.533,41.7,17.89,65.14,2.09,92.56,18.1,41.963,19.29,51.09,16.7,45.567,2.817,754.033,92.5,5.0,27.833,1.65
2016-01-14 09:10:00,70,20,18.427,43.327,17.79,42.23,19.29,42.4,18.567,41.4,17.26,52.823,2.5,93.727,17.633,39.59,18.427,46.89,16.7,45.863,1.4,749.367,97.5,3.5,35.833,1.033
2016-01-14 13:10:00,60,0,20.963,43.867,20.26,40.127,22.39,44.9,18.857,42.793,17.1,53.2,3.618,95.998,17.427,37.963,18.033,44.627,17.1,46.833,4.3,748.217,87.5,6.0,40.0,2.417
