pupil_ref,stream,term,tutor_group,attendance_pct,coursework,exam_mark,resit
P0000,Science,Autumn,TG-F,75.9,80.8,68.4,False
P0001,Arts,Autumn,TG-D,81.2,78.9,70.7,False
P0002,Arts,Summer,TG-C,85.2,,45.3,False
P0003,Science,Spring,TG-C,98.8,49.7,49.6,False
P0004,Science,Spring,TG-B,67.1,33.3,36.3,True
P0005,Vocational,Spring,TG-E,89.5,76.2,75.3,False
P0006,Science,Summer,TG-D,81.7,61.6,53.3,False
P0007,Science,Autumn,TG-F,89.5,36.6,52.0,False
P0008,Vocational,Autumn,TG-E,82.1,68.9,56.9,False
P0009,Arts,Autumn,TG-F,88.9,63.8,75.8,False
P0010,Science,Spring,TG-C,98.5,52.7,50.4,False
P0011,Arts,Summer,TG-D,88.8,53.7,56.7,False
P0012,Arts,Spring,TG-A,89.5,45.0,45.1,False
P0013,Science,Autumn,TG-F,89.0,80.0,87.5,False
P0014,Science,Spring,TG-E,80.0,69.1,77.8,False
P0015,Arts,Summer,TG-F,90.3,75.0,73.6,False
P0016,Arts,Summer,TG-C,84.3,49.0,57.0,False
P0017,Arts,Autumn,TG-D,79.5,94.6,63.6,False
P0018,Vocational,Autumn,TG-E,85.7,33.6,34.2,True
P0019,Arts,Autumn,TG-A,84.2,58.5,61.8,False
P0020,Vocational,Summer,TG-C,92.0,45.1,47.2,False
P0021,Science,Summer,TG-D,85.7,35.6,43.5,False
P0022,Arts,Summer,TG-A,81.8,,48.6,False
P0023,Arts,Autumn,TG-D,97.6,63.5,62.4,False
P0024,Science,Summer,TG-F,93.9,78.5,71.2,False
P0025,Arts,Spring,TG-E,96.2,61.5,74.1,False
P0026,Science,Spring,TG-C,90.9,69.7,65.7,False
P0027,Vocational,Spring,TG-B,85.1,38.3,47.7,False
P0028,Vocational,Spring,TG-C,82.6,69.2,65.7,False
P0029,Science,Summer,TG-F,83.8,64.7,56.8,False
P0030,Arts,Autumn,TG-F,93.6,87.6,78.3,False
P0031,Science,Autumn,TG-C,86.9,57.8,49.1,False
P0032,Science,Summer,TG-D,74.1,15.5,19.3,True
P0033,Vocational,Spring,TG-F,85.7,67.3,53.7,False
P0034,Science,Autumn,TG-B,74.7,77.6,78.6,False
P0035,Science,Autumn,TG-B,87.3,73.8,66.0,False
P0036,Arts,Summer,TG-C,76.4,63.2,51.5,False
P0037,Science,Summer,TG-C,75.9,64.7,64.1,False
P0038,Vocational,Autumn,TG-E,86.9,56.0,66.2,False
P0039,Science,Autumn,TG-E,85.4,75.5,64.8,False
P0040,Science,Autumn,TG-D,72.7,37.1,45.5,False
P0041,Science,Autumn,TG-B,92.0,58.2,64.1,False
P0042,Science,Spring,TG-F,100.0,62.2,70.4,False
P0043,Arts,Autumn,TG-C,74.1,57.9,44.7,False
P0044,Vocational,Summer,TG-A,100.0,56.7,54.6,False
P0045,Arts,Autumn,TG-D,80.5,37.2,58.0,False
P0046,Science,Spring,TG-F,82.0,80.8,68.8,False
P0047,Science,Summer,TG-E,84.6,,66.5,False
P0048,Science,Autumn,TG-A,74.4,,58.6,False
P0049,Vocational,Spring,TG-F,96.4,69.6,71.9,False
P0050,Arts,Autumn,TG-E,89.9,97.6,92.9,False
P0051,Arts,Summer,TG-D,80.0,68.6,59.1,False
P0052,Science,Autumn,TG-C,83.8,84.5,70.8,False
P0053,Science,Summer,TG-F,73.9,80.1,75.8,False
P0054,Vocational,Autumn,TG-F,83.2,50.5,58.6,False
P0055,Arts,Autumn,TG-B,93.5,79.5,67.3,False
P0056,Science,Spring,TG-C,72.3,74.6,63.9,False
P0057,Science,Summer,TG-D,82.5,,77.8,False
P0058,Science,Summer,TG-D,87.2,63.9,64.1,False
P0059,Science,Summer,TG-E,94.4,75.8,69.0,False
P0060,Science,Autumn,TG-A,96.8,71.1,67.2,False
P0061,Vocational,Autumn,TG-A,82.3,52.5,42.9,False
P0062,Arts,Spring,TG-B,80.1,,69.5,False
P0063,Science,Autumn,TG-E,89.6,68.5,58.7,False
P0064,Arts,Summer,TG-C,83.1,39.8,37.2,True
P0065,Science,Spring,TG-E,83.5,45.4,56.4,False
P0066,Science,Spring,TG-C,94.6,54.6,44.0,False
