job_ref,booked_on,released_on,depot,fault_class,labour_hours,parts_cost,total_billed,warranty
J00000,2023-01-30,2023-02-02,Kingsway,Electrical,8.2,84.7,593.1,True
J00001,2024-05-04,2024-05-05,Riverside,Transmission,2.34,251.72,396.8,True
J00002,2023-10-27,2023-11-19,Riverside,Electrical,10.51,24.49,676.11,False
J00003,2024-03-29,2024-04-14,Kingsway,Transmission,6.2,15.94,400.34,True
J00004,2023-07-08,2023-07-16,Kingsway,Diagnostics,13.89,13.91,875.09,False
J00005,2023-04-05,2023-04-21,Northgate,Transmission,3.18,24.56,221.72,False
J00006,2024-03-04,2024-03-09,Kingsway,Bodywork,8.42,307.85,829.89,False
J00007,2023-03-25,2023-04-18,Northgate,Hydraulic,3.94,183.63,427.91,True
J00008,2023-03-30,2023-04-14,Northgate,Bodywork,10.07,258.48,882.82,False
J00009,2024-04-06,2024-04-09,Riverside,Bodywork,9.42,50.87,634.91,False
J00010,2024-04-10,2024-05-04,Riverside,Bodywork,3.0,28.51,214.51,True
J00011,2024-08-24,2024-09-02,Riverside,Diagnostics,5.77,190.86,548.6,False
J00012,2023-11-06,2023-11-25,Northgate,Hydraulic,1.68,195.8,299.96,False
J00013,2023-05-26,2023-06-14,Riverside,Diagnostics,4.18,609.06,868.22,False
J00014,2023-05-26,2023-05-29,Eastfield,Transmission,12.45,204.21,976.11,True
J00015,2023-06-06,2023-06-15,Eastfield,Bodywork,7.83,157.68,643.14,True
J00016,2023-03-21,2023-04-06,Riverside,Bodywork,2.56,114.16,272.88,False
J00017,2024-05-20,2024-05-28,Kingsway,Transmission,4.63,163.57,450.63,False
J00018,2024-06-21,2024-07-15,Kingsway,Hydraulic,3.14,340.82,535.5,False
J00019,2023-11-30,2023-12-05,Kingsway,Transmission,5.84,373.66,735.74,False
J00020,2024-04-27,2024-05-15,Kingsway,Electrical,10.66,63.06,723.98,False
J00021,2023-10-22,2023-10-23,Northgate,Hydraulic,5.35,84.04,415.74,False
J00022,2024-05-31,2024-06-03,Kingsway,Transmission,8.62,156.77,691.21,False
J00023,2023-09-06,2023-09-20,Eastfield,Hydraulic,3.02,331.46,518.7,False
J00024,2023-12-06,2023-12-21,Eastfield,Electrical,5.01,105.54,416.16,False
J00025,2023-02-18,2023-02-20,Kingsway,Diagnostics,3.4,142.21,353.01,False
J00026,2023-05-16,2023-05-20,Eastfield,Hydraulic,3.31,345.7,550.92,False
J00027,2023-11-19,2023-12-01,Kingsway,Transmission,2.04,258.76,385.24,False
J00028,2023-04-21,2023-05-03,Eastfield,Diagnostics,3.46,198.46,412.98,True
J00029,2023-08-04,2023-08-23,Northgate,Transmission,7.54,138.25,605.73,True
J00030,2023-01-16,2023-02-04,Eastfield,Bodywork,1.11,299.38,368.2,False
J00031,2023-10-04,2023-10-15,Kingsway,Hydraulic,9.35,191.3,771.0,False
J00032,2023-04-10,2023-05-12,Riverside,Diagnostics,10.35,255.92,897.62,True
J00033,2024-01-18,2024-02-03,Eastfield,Bodywork,8.94,22.96,577.24,True
J00034,2023-08-26,2023-09-15,Eastfield,Electrical,10.42,83.31,729.35,False
J00035,2024-04-27,2024-05-21,Kingsway,Hydraulic,3.11,47.03,239.85,False
J00036,2023-03-01,2023-03-20,Northgate,Bodywork,21.25,347.01,1664.51,False
J00037,2024-03-17,2024-03-22,Northgate,Bodywork,3.1,36.05,228.25,False
J00038,2023-02-05,2023-02-10,Northgate,Bodywork,4.89,123.7,426.88,False
J00039,2024-06-07,2024-06-24,Kingsway,Electrical,5.62,142.67,491.11,False
J00040,2023-07-26,2023-08-06,Northgate,Electrical,2.16,39.5,173.42,False
J00041,2023-01-17,2023-02-03,Eastfield,Diagnostics,7.72,248.6,727.24,False
J00042,2023-07-15,2023-07-22,Kingsway,Diagnostics,8.69,143.93,682.71,False
J00043,2024-04-06,2024-04-19,Riverside,Hydraulic,11.34,39.36,742.44,True
J00044,2023-07-27,2023-07-28,Northgate,Diagnostics,1.85,208.68,323.38,False
J00045,2024-01-19,2024-01-28,Kingsway,Hydraulic,2.88,58.23,236.79,True
J00046,2024-10-30,2024-11-22,Eastfield,Transmission,3.54,283.03,502.51,True
J00047,2024-08-22,2024-08-27,Northgate,Electrical,15.83,401.7,1383.16,False
J00048,2023-03-23,2023-04-04,Eastfield,Diagnostics,9.62,28.63,625.07,False
J00049,2024-10-23,2024-11-02,Northgate,Transmission,12.28,168.15,929.51,False
J00050,2023-11-26,2023-11-27,Kingsway,Transmission,9.47,215.35,802.49,True
J00051,2023-01-13,2023-01-27,Eastfield,Transmission,8.4,230.81,751.61,False
J00052,2023-06-06,2023-06-07,Eastfield,Transmission,5.26,97.13,423.25,False
J00053,2024-08-06,2024-08-31,Riverside,Bodywork,2.2,357.58,493.98,False
J00054,2024-07-02,2024-08-11,Northgate,Bodywork,4.05,195.03,446.13,True
J00055,2023-07-01,2023-08-07,Kingsway,Transmission,8.92,128.56,681.6,True
J00056,2023-05-06,2023-05-22,Kingsway,Bodywork,5.18,157.26,478.42,True
J00057,2024-03-17,2024-04-08,Riverside,Electrical,10.24,281.3,916.18,False
J00058,2023-11-20,2023-12-12,Riverside,Diagnostics,13.6,168.4,1011.6,True
J00059,2024-06-23,2024-07-13,Northgate,Hydraulic,12.05,240.39,987.49,False
J00060,2023-01-07,2023-01-24,Kingsway,Hydraulic,7.99,64.79,560.17,True
J00061,2024-08-19,2024-08-29,Eastfield,Hydraulic,5.29,59.83,387.81,True
J00062,2024-02-16,2024-03-12,Kingsway,Electrical,11.32,77.85,779.69,False
J00063,2024-10-24,2024-11-08,Kingsway,Diagnostics,2.62,12.94,175.38,True
J00064,2023-02-02,2023-02-22,Eastfield,Hydraulic,6.05,341.78,716.88,False
J00065,2024-03-24,2024-03-25,Eastfield,Transmission,3.74,40.45,272.33,False
J00066,2023-03-11,2023-03-17,Riverside,Diagnostics,8.38,548.88,1068.44,True
J00067,2024-08-28,2024-09-22,Riverside,Diagnostics,3.57,275.44,496.78,False
J00068,2024-08-18,2024-09-10,Northgate,Hydraulic,10.14,92.14,720.82,True
J00069,2023-12-19,2024-01-01,Northgate,Diagnostics,7.4,171.89,630.69,True
J00070,2023-04-30,2023-05-05,Eastfield,Diagnostics,7.41,92.09,551.51,False
J00071,2023-06-17,2023-06-21,Northgate,Bodywork,5.44,76.1,413.38,False
J00072,2024-02-08,2024-03-04,Northgate,Transmission,8.17,93.13,599.67,False
J00073,2023-04-27,2023-05-17,Kingsway,Electrical,2.46,38.3,190.82,False
J00074,2024-01-30,2024-02-02,Eastfield,Bodywork,2.08,456.38,585.34,False
J00075,2023-12-19,2024-01-10,Kingsway,Electrical,6.57,101.84,509.18,True
J00076,2024-07-10,2024-07-26,Riverside,Electrical,3.18,97.51,294.67,False
J00077,2024-06-09,2024-06-28,Riverside,Electrical,5.13,180.51,498.57,False
J00078,2024-11-10,2024-11-30,Eastfield,Hydraulic,2.47,255.91,409.05,True
J00079,2023-11-15,2024-01-09,Riverside,Diagnostics,4.17,263.71,522.25,False
J00080,2023-10-18,2023-10-19,Northgate,Diagnostics,6.56,295.15,701.87,False
J00081,2024-04-25,2024-05-02,Eastfield,Diagnostics,9.4,332.04,914.84,False
J00082,2023-07-07,2023-07-20,Northgate,Transmission,3.22,240.53,440.17,False
J00083,2023-04-02,2023-04-16,Riverside,Electrical,6.18,171.24,554.4,False
J00084,2023-09-04,2023-09-28,Eastfield,Electrical,12.3,238.7,1001.3,False
J00085,2024-11-15,2024-11-27,Eastfield,Transmission,8.88,145.62,696.18,False
J00086,2024-11-16,2024-11-20,Eastfield,Hydraulic,3.92,112.66,355.7,False
J00087,2023-12-02,2024-01-17,Northgate,Transmission,7.88,5.5,494.06,True
J00088,2024-08-01,2024-08-19,Riverside,Electrical,3.69,100.92,329.7,False
J00089,2024-08-05,2024-08-13,Kingsway,Electrical,7.31,340.27,793.49,False
J00090,2023-02-07,2023-02-20,Riverside,Electrical,5.48,49.96,389.72,False
J00091,2024-05-29,2024-06-16,Eastfield,Hydraulic,3.45,34.15,248.05,False
J00092,2023-01-27,2023-01-30,Eastfield,Diagnostics,8.12,140.78,644.22,True
J00093,2024-07-04,2024-07-16,Eastfield,Electrical,5.81,300.73,660.95,False
J00094,2023-03-14,2023-03-24,Eastfield,Diagnostics,3.62,202.68,427.12,True
J00095,2023-09-30,2023-10-10,Eastfield,Transmission,2.22,197.44,335.08,False
J00096,2024-11-11,2024-11-15,Kingsway,Bodywork,4.78,581.85,878.21,False
J00097,2023-03-23,2023-04-10,Riverside,Electrical,13.94,133.15,997.43,False
J00098,2023-02-20,2023-02-26,Northgate,Electrical,9.45,216.96,802.86,True
J00099,2023-11-19,2023-11-26,Eastfield,Hydraulic,7.84,214.08,700.16,False
J00100,2024-02-24,2024-03-08,Riverside,Hydraulic,2.39,127.58,275.76,False
J00101,2023-08-24,2023-09-02,Eastfield,Electrical,2.69,506.0,672.78,False
J00102,2023-09-17,2023-10-09,Riverside,Transmission,10.46,106.25,754.77,False
J00103,2023-10-11,2023-11-05,Eastfield,Transmission,2.49,132.27,286.65,False
J00104,2023-05-16,2023-05-26,Northgate,Diagnostics,2.5,265.84,420.84,False
J00105,2024-11-29,2024-12-09,Northgate,Hydraulic,6.43,108.5,507.16,False
J00106,2023-07-16,2023-07-18,Riverside,Electrical,8.81,126.15,672.37,False
J00107,2023-08-09,2023-08-18,Kingsway,Bodywork,4.41,64.39,337.81,True
J00108,2023-06-20,2023-06-23,Kingsway,Electrical,11.11,296.0,984.82,True
J00109,2024-07-05,2024-07-30,Kingsway,Diagnostics,4.28,393.85,659.21,False
J00110,2024-05-17,2024-05-18,Eastfield,Diagnostics,2.46,106.91,259.43,False
J00111,2023-05-01,2023-05-25,Riverside,Hydraulic,2.68,73.45,239.61,False
J00112,2024-09-09,2024-09-28,Northgate,Diagnostics,4.88,319.86,622.42,False
J00113,2024-02-24,2024-03-19,Kingsway,Electrical,8.33,144.06,660.52,True
